觀測時間(hour),測站氣壓(hPa),海平面氣壓(hPa),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),降水量(mm)	,降水時數(hr),日照時數(hr),全天空日射量(MJ/㎡),能見度(km)	,紫外線指數,總雲量(0~10)
ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2019_11_28_01,10063,,185,,90,14,351,,,00,,,,,,
2019_11_28_02,10060,,182,,90,12,339,,,00,,,,,,
2019_11_28_03,10060,,180,,90,19,343,,,00,,,,,,
2019_11_28_04,10059,,186,,84,23,360,,,00,,,,,,
2019_11_28_05,10061,,180,,87,13,351,,,00,,,,,,
2019_11_28_06,10066,,180,,88,19,352,,,00,,,,,,
2019_11_28_07,10069,,185,,84,26,4,,,00,,,,,,
2019_11_28_08,10074,,211,,74,21,14,,,00,,,,,,
2019_11_28_09,10077,,226,,68,24,5,,,00,,,,,,
2019_11_28_10,10076,,243,,63,25,14,,,00,,,,,,
2019_11_28_11,10071,,244,,60,37,358,,,00,,,,,,
2019_11_28_12,10060,,243,,57,43,357,,,00,,,,,,
2019_11_28_13,10050,,247,,55,44,5,,,00,,,,,,
2019_11_28_14,10045,,241,,56,45,2,,,00,,,,,,
2019_11_28_15,10044,,229,,59,39,358,,,00,,,,,,
2019_11_28_16,10048,,210,,65,31,358,,,00,,,,,,
2019_11_28_17,10053,,186,,72,32,350,,,00,,,,,,
2019_11_28_18,10059,,173,,77,26,353,,,00,,,,,,
2019_11_28_19,10064,,168,,78,20,351,,,00,,,,,,
2019_11_28_20,10069,,163,,80,20,348,,,00,,,,,,
2019_11_28_21,10073,,167,,77,16,353,,,00,,,,,,
2019_11_28_22,10073,,170,,75,15,359,,,00,,,,,,
2019_11_28_23,10072,,171,,75,18,351,,,00,,,,,,
2019_11_28_24,10069,,174,,74,15,351,,,00,,,,,,
