time,userID,longitude,latitude,average,standard,amount
2019/10/1 16:11,,,,0.69,0.46,1
2019/10/1 16:16,123,24.02981969,120.6933913,1.42,0.63,16
2019/10/1 16:16,123,24.02982383,120.6933951,0.79,0.41,16
2019/10/1 16:16,123,24.03173406,120.6902785,4.65,1.18,16
2019/10/1 16:16,123,24.03174231,120.690262,2.96,0.86,16
2019/10/1 16:17,123,24.03174653,120.6902711,3.17,1.09,16
2019/10/1 16:17,123,24.03173789,120.6902846,1.22,0.69,16
2019/10/1 16:17,123,24.03173789,120.6902846,3.25,1.18,16
2019/10/1 16:17,123,24.03173,120.6902673,1.28,0.64,16
2019/10/1 16:17,123,24.03172669,120.6902655,2.03,0.78,16
2019/10/1 16:17,123,24.03172006,120.6902495,6.73,1.43,16
2019/10/1 16:17,123,24.03171083,120.6902435,2.83,0.91,16
2019/10/1 16:17,123,24.03170853,120.6902451,0.51,0.5,16
2019/10/1 16:17,123,24.03170339,120.6902494,1.5,0.6,16
2019/10/1 16:18,123,24.03170197,120.6902465,5.03,1.31,16
2019/10/1 16:18,123,24.03170044,120.690252,2.38,0.63,16
2019/10/1 16:18,123,24.03169725,120.6902462,0.8,0.4,16
2019/10/1 16:22,123,,,2.52,0.97,1
2019/10/1 16:23,123,,,2.53,0.94,1
2019/10/1 16:39,TARI,24.02981969,120.6933913,7.74,1.63,15
2019/10/1 16:39,TARI,24.02982383,120.6933951,6.46,1.52,15
2019/10/1 16:40,TARI,24.03173406,120.6902785,4.66,1.23,15
2019/10/1 16:40,TARI,24.03174231,120.690262,5.77,1.42,15
2019/10/1 16:40,TARI,24.03174653,120.6902711,4.2,1.09,15
2019/10/1 16:40,TARI,24.03173789,120.6902846,4.16,1.11,15
2019/10/1 16:40,TARI,24.03173789,120.6902846,4.06,1.09,15
2019/10/1 16:40,TARI,24.03173,120.6902673,4.06,1.08,15
2019/10/1 16:40,TARI,24.03172669,120.6902655,3.65,0.88,15
2019/10/1 16:40,TARI,24.03172006,120.6902495,3.38,1.01,15
2019/10/1 16:40,TARI,24.03171083,120.6902435,4.88,1.15,15
2019/10/1 16:41,TARI,24.03170853,120.6902451,4.45,1.21,15
2019/10/1 16:41,TARI,24.03170339,120.6902494,3.84,1.33,15
2019/10/1 16:41,TARI,24.03170197,120.6902465,5,1.19,15
2019/10/1 16:41,TARI,24.03170044,120.690252,7.35,1.53,15
2019/10/2 13:23,test,,,2.53,0.94,1
2019/10/2 13:31,test,24.03170853,120.6902451,0.49,0.5,1
2019/10/2 13:35,test,24.03170853,120.6902451,0.51,0.5,1
2019/10/2 13:42,test,24.03170853,120.6902451,0.51,0.5,1
2019/10/2 13:43,test,,,2.52,0.97,1
2019/10/2 13:45,test,,,2.49,0.94,1
2019/10/2 13:46,test,,,2.46,0.97,1
2019/10/2 19:26,,,,2.63,0.56,1
2019/10/2 19:48,,,,5.02,1.17,1
2019/10/2 19:52,,,,2.59,0.58,1
2019/10/2 19:52,862ba96ca7595beb,24.11702628,120.6606647,6.22,1.37,1
2019/10/2 19:54,,,,2.61,0.57,1
2019/10/2 19:58,,,,2.59,0.61,1
2019/10/2 19:59,,,,2.59,0.58,1
2019/10/2 20:00,,,,2.59,0.59,1
2019/10/2 20:00,,,,2.6,0.58,1
2019/10/2 20:01,,,,2.66,0.55,1
2019/10/2 20:02,,,,2.63,0.55,1
2019/10/2 20:04,,,,2.58,0.59,1
2019/10/2 20:06,,,,2.62,0.58,1
2019/10/2 20:10,,,,2.65,0.55,1
2019/10/2 20:11,,,,2.57,0.61,1
2019/10/2 20:35,test,,,2.6,0.58,1
2019/10/2 20:41,test,,,2.64,0.55,1
2019/10/2 20:50,test,,,2.58,0.6,1
2019/10/2 20:50,test,,,2.58,0.57,1
2019/10/3 08:38,,,,2.62,0.56,1
2019/10/3 08:39,,,,2.58,0.6,1
2019/10/3 08:39,,,,2.6,0.58,1
2019/10/3 08:41,,,,2.6,0.57,1
2019/10/3 08:41,,,,2.66,0.55,1
2019/10/3 08:42,,,,2.6,0.58,1
2019/10/3 08:43,,,,2.59,0.59,1
2019/10/3 08:43,,,,2.58,0.6,1
2019/10/3 08:54,,,,2.59,0.61,1
2019/10/3 08:54,,,,2.62,0.56,1
2019/10/3 08:55,,,,2.59,0.58,1
2019/10/3 08:56,,,,2.61,0.58,1
2019/10/3 13:33,,,,2.58,0.61,1
2019/10/4 08:34,TARI,,,4.08,1.05,5
2019/10/4 08:34,TARI,,,3.04,1.04,5
2019/10/4 08:34,TARI,,,3.7,0.91,5
2019/10/4 08:34,TARI,,,3.58,1,5
2019/10/4 08:35,TARI,,,4.45,0.99,5
2019/10/4 08:37,TARI,,,5.01,0.9,5
2019/10/4 08:37,TARI,,,3.49,0.94,5
2019/10/4 08:38,TARI,,,3.95,1.11,5
2019/10/4 08:38,TARI,,,6.07,1.14,5
2019/10/4 08:38,TARI,,,6.79,1.23,5
2019/10/4 08:55,TARI,23.98460197,120.7021179,1.64,0.84,5
2019/10/4 08:55,TARI,23.98460197,120.7021179,5.7,1.4,5
2019/10/4 08:56,TARI,23.98458672,120.7021103,9.75,1.79,5
2019/10/4 08:56,TARI,23.98458672,120.7021103,3.39,0.98,5
2019/10/4 08:56,TARI,23.98458672,120.7021103,3,0.81,5
2019/10/4 09:08,?,,,43.98,3.56,1
2019/10/4 09:09,?,,,4.27,1.29,1
2019/10/4 09:10,H,,,1.1,0.67,1
2019/10/4 10:48,99999,24.7764,121.0416861,0,0,1
2019/10/4 10:50,Oooo,,,44.09,3.53,1
2019/10/4 10:53,Oooo,,,43.88,3.73,1
2019/10/4 10:54,88888,25.00131111,121.2288361,43.53,3.61,1
2019/10/4 11:00,H,,,1.29,0.63,1
2019/10/4 11:02,TARI,23.98460197,120.7021179,1.66,0.86,1
2019/10/4 11:08,TARI,23.98460197,120.7021179,1.63,0.87,5
2019/10/4 11:08,TARI,23.98460197,120.7021179,5.86,1.32,5
2019/10/4 11:09,TARI,23.98458672,120.7021103,9.78,1.79,5
2019/10/4 11:09,TARI,23.98458672,120.7021103,3.36,0.99,5
2019/10/4 11:09,TARI,23.98458672,120.7021103,3,0.8,5
2019/10/4 11:27,TARI,,,5.36,1.29,6
2019/10/4 11:28,TARI,,,4.45,1.24,6
